cem_key,lawn_key,ptype_norm,retail_price,resale_price,resale_pct,year,sold_date
GLEN HAVEN MP,ROSE LAWN,SINGLE_GRAVE,3800.0,2945.0,0.775,,
ROSE HILLS G-17,EMERALD TERRACE,SINGLE_GRAVE,7775.0,4100.0,0.5273311897106109,,
DESERT LAWN MP,"MAUSOLEUM, NORTH WALL",SINGLE_MAUSOLEUM,5962.0,3000.0,0.5031868500503187,2014.0,2014-03-05
FOREST LAWN MP,EVERLASTING LOVE,SINGLE_GRAVE,8970.0,7200.0,0.802675585284281,2020.0,2020-10-19
ETERNAL VALLEY MP,MEDITATION GARDEN OF,SINGLE_GRAVE,7495.0,3500.0,0.466977985323549,2018.0,2018-02-20
OAKDALE MP,ELM LAWN,MULTI_GRAVE,8995.0,5800.0,0.6448026681489717,,
DESERT VIEW MP,JOSHUA LAWN,SINGLE_GRAVE,4995.0,3200.0,0.6406406406406406,2019.0,2019-08-26
VICTOR VALLEY MP,"CRESTLAWN II, SEC. 1",SINGLE_GRAVE,2280.0,1595.0,0.6995614035087719,2008.0,2008-09-25
ETERNAL VALLEY MP,WHISPERING PINES GARDEN OF,MULTI_GRAVE,7495.0,4300.0,0.5737158105403602,2019.0,2019-08-02
ROSE HILLS G-01,PRIMROSE,MULTI_GRAVE,8775.0,4100.0,0.4672364672364672,2020.0,2020-08-28
OAKWOOD MP,WILLOW HEIGHTS,URN_SPACE,2200.0,1950.0,0.8863636363636364,2018.0,2018-11-17
